iter	RMSE
446	35627.86589
447	35609.259
448	35599.24414
449	35554.36501
450	35535.95109
451	35521.52429
452	35500.06517
453	35483.22187
454	35471.31397
455	35462.30881
456	35451.34581
457	35439.12602
458	35429.49892
459	35408.50281
460	35394.4832
461	35388.39605
462	35369.78651
463	35365.71841
464	35356.58708
465	35319.55726
466	35307.9497
467	35290.85648
468	35275.60943
469	35266.07022
470	35245.98353
471	35230.49526
472	35221.83694
473	35207.28096
474	35192.94143
475	35176.85835
476	35159.85926
477	35146.53003
478	35136.98095
479	35112.99788
480	35103.50768
481	35079.89184
482	35070.35644
483	35047.75378
484	35044.46407
485	35010.87624
486	35010.52118
487	34996.57251
488	34983.39768
489	34956.90256
490	34947.68858
491	34945.34519
492	34928.73686
493	34889.75818
494	34885.41422
495	34877.10427
496	34858.32488
497	34832.73664
498	34821.62914
499	34812.85424
500	34795.46104
501	34783.24212
502	34769.06095
503	34750.18443
504	34735.74976
505	34714.83785
506	34700.35213
507	34698.0771
508	34683.88232
509	34665.41755
510	34656.6219
511	34631.89933
512	34607.92689
513	34577.9852
514	34556.15345
515	34549.64582
516	34541.43885
517	34514.69802
518	34493.9155
519	34472.35088
520	34455.18542
521	34438.46186
522	34427.39856
523	34420.56546
524	34401.49795
525	34380.72875
526	34368.40468
527	34355.58427
528	34344.20017
529	34335.64221
530	34311.0979
531	34296.97322
532	34286.57164
533	34271.74609
534	34252.65127
535	34250.42129
536	34242.63627
537	34232.55945
538	34225.61337
539	34212.97787
540	34206.15715
541	34198.10704
542	34188.1737
543	34176.78779
544	34162.06614
545	34151.60848
546	34144.76732
547	34139.04303
548	34112.50509
549	34104.69677
550	34093.85515
551	34082.40786
552	34064.48744
553	34049.79471
554	34041.63816
555	34031.7547
556	34017.48136
557	34015.01524
558	33988.79921
559	33982.3225
560	33975.28228
561	33968.81461
562	33953.41486
563	33944.11661
564	33936.45396
565	33931.16265
566	33918.7432
567	33917.32391
568	33898.02265
569	33884.74042
570	33874.47787
571	33854.44488
572	33838.31602
573	33824.08389
574	33807.40925
575	33800.99736
576	33791.78661
577	33783.7222
578	33770.76201
579	33744.11158
580	33734.31387
581	33729.6279
582	33727.87119
583	33724.13368
584	33719.72771
585	33701.46867
586	33693.19002
587	33689.76782
588	33689.43295
589	33675.05428
590	33645.93076
591	33630.59641
592	33629.52818
593	33611.35656
594	33604.62246
595	33587.64781
596	33575.41784
597	33565.00474
598	33562.6631
599	33556.53513
600	33554.44196
601	33540.19327
602	33530.80517
603	33518.67295
604	33486.89199
605	33480.08894
606	33468.59265
607	33468.34006
608	33462.48819
609	33455.19231
610	33441.38159
611	33433.59033
612	33414.14165
613	33408.4065
614	33393.96046
615	33384.3699
616	33367.26708
617	33358.81311
618	33349.04874
619	33347.28597
620	33337.78646
621	33328.05798
622	33307.36305
623	33307.17475
624	33295.52317
625	33285.81846
626	33274.75312
627	33261.43095
628	33255.64217
629	33248.45019
630	33226.65681
631	33211.2616
632	33193.5988
633	33188.26007
634	33187.648
635	33171.9971
636	33163.25874
637	33153.92751
638	33141.46095
639	33127.91846
640	33119.17702
641	33090.33118
642	33074.64811
643	33054.72778
644	33046.02724
645	33026.64663
646	33014.57707
647	33004.6085
648	32997.36215
649	32982.64751
650	32976.86649
651	32961.90335
652	32954.08427
653	32941.23643
654	32913.52269
655	32903.35762
656	32897.25449
657	32889.85672
658	32879.19313
659	32855.70783
660	32841.86199
661	32831.17059
662	32824.53123
663	32815.32463
664	32811.17371
665	32787.36677
666	32780.19097
667	32775.91848
668	32758.77574
669	32740.07032
670	32730.10843
671	32725.90181
672	32708.84146
673	32700.66279
674	32691.54806
675	32689.00017
676	32679.32659
677	32669.11828
678	32662.13966
679	32657.72829
680	32645.05051
681	32621.24128
682	32607.49675
683	32585.34776
684	32573.5353
685	32565.61704
686	32545.40049
687	32524.72028
688	32506.03176
689	32492.11133
690	32487.63811
691	32476.0287
692	32460.28418
693	32451.1234
694	32426.41116
695	32419.44799
696	32408.03817
697	32399.82223
698	32386.36318
699	32373.92179
700	32364.81054
701	32353.34913
702	32344.60799
703	32334.49754
704	32325.22783
705	32313.39338
706	32297.74895
707	32287.13543
708	32274.35186
709	32262.15967
710	32236.30355
711	32228.47264
712	32221.07498
713	32210.09585
714	32204.22011
715	32195.28285
716	32182.98209
717	32175.56741
718	32173.03542
719	32166.53883
720	32157.78879
721	32150.66727
722	32141.47322
723	32132.38378
724	32127.86325
725	32113.539
726	32113.3172
727	32104.04802
728	32103.23826
729	32092.86927
730	32080.69458
731	32071.86311
732	32063.06274
733	32049.89432
734	32031.16693
735	32022.07992
736	32013.25216
737	31993.38865
738	31988.00209
739	31979.71861
740	31971.21883
741	31965.26812
742	31961.77089
743	31950.36124
744	31934.74288
745	31932.23778
746	31919.1161
747	31902.03372
748	31897.99552
749	31890.1703
750	31884.98524
751	31864.63952
752	31856.19784
753	31846.75762
754	31839.00359
755	31827.14972
756	31818.21937
757	31811.38118
758	31805.78303
759	31794.95285
760	31785.83066
761	31772.28637
762	31744.28404
763	31743.30027
764	31722.34885
765	31716.98814
766	31695.60686
767	31692.53476
768	31679.91334
769	31674.10478
770	31669.6169
771	31663.79803
772	31643.86454
773	31640.22119
774	31631.98443
775	31617.23577
776	31608.93775
777	31601.53536
778	31592.17745
779	31587.00604
780	31575.97102
781	31567.88287
782	31563.09004
783	31562.62813
784	31552.32751
785	31538.64044
786	31524.10584
787	31511.96834
788	31507.46143
789	31502.91111
790	31495.34101
791	31489.61833
792	31480.03085
793	31476.04217
794	31471.76474
795	31471.53146
796	31471.35192
797	31452.91949
798	31442.82229
799	31435.05188
